日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index Chinese Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20211025,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4940.90,4981.65,4930.11,4979.52,19.80,0.40,14186.15,2994.08,300
20211026,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4983.24,5002.57,4953.48,4963.10,-16.43,-0.33,14088.89,3017.86,300
20211027,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4949.23,4949.23,4884.94,4898.16,-64.93,-1.31,14711.16,2994.60,300
20211028,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4882.59,4898.66,4846.28,4864.14,-34.03,-0.69,15664.95,3166.32,300
20211029,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4861.27,4908.77,4855.76,4908.77,44.63,0.92,15988.74,3687.32,300
20211101,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4878.13,4908.21,4858.25,4890.69,-18.09,-0.37,17158.40,3797.31,300
20211102,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4886.18,4911.23,4797.90,4839.85,-50.84,-1.04,18543.77,3857.32,300
20211103,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4835.81,4858.71,4804.37,4821.11,-18.73,-0.39,14276.38,3022.70,300
20211104,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4841.09,4873.94,4834.74,4868.74,47.63,0.99,13259.30,3086.88,300
20211105,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4858.90,4889.68,4841.74,4842.35,-26.40,-0.54,14778.94,3120.71,300
20211108,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4841.15,4866.08,4827.69,4848.18,5.83,0.12,13739.83,2958.94,300
20211109,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4858.25,4870.79,4818.54,4846.74,-1.44,-0.03,11837.55,2616.45,300
20211110,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4832.80,4832.80,4754.00,4821.19,-25.55,-0.53,13511.82,3010.59,300
20211111,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4814.77,4898.65,4809.11,4898.65,77.46,1.61,16048.49,3236.25,300
20211112,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4902.93,4909.08,4875.35,4888.37,-10.28,-0.21,13266.30,2717.73,300
20211115,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4894.41,4906.33,4863.40,4882.38,-6.00,-0.12,12182.31,2729.98,300
20211116,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4880.90,4915.37,4876.50,4883.32,0.94,0.02,12725.44,2840.95,300
20211117,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4883.25,4891.52,4864.52,4885.75,2.43,0.05,10845.92,2461.78,300
20211118,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4871.42,4871.42,4830.41,4837.62,-48.14,-0.99,11448.06,2444.85,300
20211119,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4832.06,4892.81,4829.57,4890.06,52.44,1.08,12719.83,2662.81,300
20211122,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4895.39,4919.00,4893.27,4912.40,22.34,0.46,13809.28,3161.49,300
20211123,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4905.76,4927.52,4896.88,4913.35,0.95,0.02,15430.44,3010.22,300
20211124,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4914.03,4935.49,4899.61,4916.66,3.31,0.07,13715.07,2897.07,300
20211125,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4917.61,4921.33,4891.73,4896.44,-20.22,-0.41,11598.40,2554.51,300
20211126,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4886.95,4886.95,4850.81,4860.13,-36.32,-0.74,12036.90,2430.41,300
20211129,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4820.01,4858.53,4818.71,4851.42,-8.70,-0.18,13362.69,2859.95,300
20211130,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4857.18,4871.25,4810.22,4832.03,-19.40,-0.40,12963.06,2792.68,300
20211201,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4831.89,4844.52,4823.93,4843.85,11.83,0.24,12308.68,2559.69,300
20211202,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4839.91,4866.85,4830.32,4856.16,12.31,0.25,14808.85,2780.52,300
20211203,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4856.98,4901.02,4853.35,4901.02,44.85,0.92,14405.96,3000.53,300
20211206,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4909.43,4943.90,4888.69,4892.62,-8.40,-0.17,17361.57,3334.06,300
20211207,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4930.83,4934.10,4895.22,4922.10,29.48,0.60,17905.35,3406.18,300
20211208,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4934.41,4995.93,4915.79,4995.93,73.83,1.50,15749.06,3290.65,300
20211209,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5000.69,5114.50,4999.41,5078.69,82.76,1.66,22056.88,4256.81,300
20211210,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5046.27,5060.06,5035.81,5055.12,-23.57,-0.46,19369.52,3569.18,300
20211213,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5090.02,5143.84,5079.73,5083.80,28.68,0.57,21180.16,4263.77,300
20211214,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5066.35,5075.21,5038.86,5049.70,-34.11,-0.67,15910.78,3186.86,300
20211215,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5036.28,5060.37,5003.78,5005.90,-43.80,-0.87,15052.98,2910.73,300
20211216,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5006.61,5034.73,4987.22,5034.73,28.83,0.58,14405.39,2914.75,300
20211217,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5021.34,5022.11,4954.76,4954.76,-79.97,-1.59,14900.54,2979.43,300
20211220,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4934.97,4971.67,4872.68,4880.42,-74.34,-1.50,16967.57,3175.37,300
20211221,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4876.51,4917.80,4872.95,4913.49,33.07,0.68,14333.99,2590.23,300
20211222,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4924.58,4936.67,4903.17,4914.45,0.97,0.02,13325.67,2446.42,300
20211223,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4924.29,4948.74,4906.75,4948.74,34.28,0.70,13955.54,2633.60,300
